OpeningDate,Title,Studio,OpeningGross,OpeningTheaters,TotalGross,TotalTheaters,GrossRatio,Stamina
2018-02-16,Samson,Other,1942569,1249,4719928,1249,2.4297350570301495,Weaker
2018-02-11,Mazinger Z: INFINITY,Other,137451,482,220682,495,1.6055321532764404,Weaker
2018-02-10,Met Opera: L'Elisir d'Amore (2018),Other,837262,687,1115018,687,1.3317432297178182,Weaker
2018-02-09,But Deliver Us from Evil,Other,99541,247,285169,247,2.864839613827468,Weak
2018-02-09,Fifty Shades Freed,Universal,38560195,3768,100407760,3768,2.6039225164706767,Weak
2018-02-09,La Boda de Valentina,Other,1147073,331,2783739,331,2.4268193916167498,Weaker
2018-02-09,Pad Man,Sony,740313,152,1670192,152,2.256061962980523,Weaker
2018-02-09,Peter Rabbit,Sony,25010928,3725,115253424,3725,4.608122657423987,Strong
2018-02-09,The 15:17 to Paris,Warner Brothers,12554286,3042,36276286,3042,2.889553894184026,Weak
2018-02-09,The Oscar Nominated Short Films 2018,Other,695044,198,3508777,272,5.04828039663676,Strong
2018-02-04,Bolshoi Ballet 2017/2018: The Lady of Camellias,Other,167991,358,167991,358,1,Weaker
2018-02-02,A Fantastic Woman,Other,64241,5,2020988,190,31.45947292227705,Stronger
2018-02-02,Bilal: A New Breed of Hero,Other,309951,300,490973,300,1.5840342505750908,Weaker
2018-02-02,Winchester,Other,9307626,2480,25091816,2480,2.6958341471821066,Weak
2018-01-27,Met Opera: Tosca,Other,1498309,691,2023749,691,1.3506886763678254,Weaker
2018-01-26,Maze Runner: The Death Cure,Fox,24167011,3787,58032443,3793,2.401308254463078,Weaker
2018-01-25,Padmaavat,Other,4493384,326,11846060,354,2.636333774277916,Weak
2018-01-21,Bolshoi Ballet 2017/2018: Romeo and Juliet,Other,256025,361,313088,361,1.2228805780685479,Weaker
2018-01-19,12 Strong,Warner Brothers,15815025,3002,45819713,3018,2.897226719527791,Weak
2018-01-19,Den of Thieves,Other,15206108,2432,44947622,2432,2.955892592634486,Weak
2018-01-19,Forever My Girl,Other,4245630,1114,16376066,1427,3.857158066058512,Strong
2018-01-18,Mary and the Witch's Flower,Other,348475,161,2418404,573,6.939964129421049,Stronger
